filename,category,suggested_id,suggested_display_name
"Ragnar_epic_weapon_icon.png","Epic Weapon","Ragnar_epic_weapon_icon","Epic Weapon: Ragnar"
"Toshi_epic_weapon_icon.png","Epic Weapon","Toshi_epic_weapon_icon","Epic Weapon: Toshi"
"Ukun_epic_weapon_icon.png","Epic Weapon","Ukun_epic_weapon_icon","Epic Weapon: Ukun"
"Yoshi_epic_weapon_icon.png","Epic Weapon","Yoshi_epic_weapon_icon","Epic Weapon: Yoshi"
"agra_epic_weapon_icon.png","Epic Weapon","agra_epic_weapon_icon","Epic Weapon: Agra"
"ailiri_epic_weapon_icon.png","Epic Weapon","ailiri_epic_weapon_icon","Epic Weapon: Ailiri"
"airon_epic_weapon_icon.png","Epic Weapon","airon_epic_weapon_icon","Epic Weapon: Airon"
"anette_epic_weapon_icon.png","Epic Weapon","anette_epic_weapon_icon","Epic Weapon: Anette"
"avalon_epic_weapon_icon.png","Epic Weapon","avalon_epic_weapon_icon","Epic Weapon: Avalon"
"azarellia_epic_weapon_icon.png","Epic Weapon","azarellia_epic_weapon_icon","Epic Weapon: Azarellia"
"baison_epic_weapon_icon.png","Epic Weapon","baison_epic_weapon_icon","Epic Weapon: Baison"
"bo_epic_weapon_icon.png","Epic Weapon","bo_epic_weapon_icon","Epic Weapon: Bo"
"brina_epic_weapon_icon.png","Epic Weapon","brina_epic_weapon_icon","Epic Weapon: Brina"
"chas_epic_weapon_icon.png","Epic Weapon","chas_epic_weapon_icon","Epic Weapon: Chas"
"cimmeria_epic_weapon_icon.png","Epic Weapon","cimmeria_epic_weapon_icon","Epic Weapon: Cimmeria"
"condrat_epic_weapon_icon.png","Epic Weapon","condrat_epic_weapon_icon","Epic Weapon: Condrat"
"drogo_epic_weapon_icon.png","Epic Weapon","drogo_epic_weapon_icon","Epic Weapon: Drogo"
"drowzet_epic_weapon_icon.png","Epic Weapon","drowzet_epic_weapon_icon","Epic Weapon: Drowzet"
"eliana_epic_weapon_icon.png","Epic Weapon","eliana_epic_weapon_icon","Epic Weapon: Eliana"
"gabriela_epic_weapon_icon.png","Epic Weapon","gabriela_epic_weapon_icon","Epic Weapon: Gabriela"
"ghorm_epic_weapon_icon.png","Epic Weapon","ghorm_epic_weapon_icon","Epic Weapon: Ghorm"
"grido_epic_weapon_icon.png","Epic Weapon","grido_epic_weapon_icon","Epic Weapon: Grido"
"harumi_epic_weapon_icon.png","Epic Weapon","harumi_epic_weapon_icon","Epic Weapon: Harumi"
"icon_fallen_hero_edmund.png","Fallen Hero","icon_fallen_hero_edmund","Icon Fallen Hero Edmund"
"icon_fallen_hero_fugi.png","Fallen Hero","icon_fallen_hero_fugi","Icon Fallen Hero Fugi"
"icon_fallen_hero_imset.png","Fallen Hero","icon_fallen_hero_imset","Icon Fallen Hero Imset"
"icon_fallen_hero_sangus.png","Fallen Hero","icon_fallen_hero_sangus","Icon Fallen Hero Sangus"
"icon_fallen_hero_slappy.png","Fallen Hero","icon_fallen_hero_slappy","Icon Fallen Hero Slappy"
"icon_fallen_hero_una.png","Fallen Hero","icon_fallen_hero_una","Icon Fallen Hero Una"
"icon_hero_agra.png","Hero Icon","icon_hero_agra","Icon Hero Agra"
"icon_hero_agra_epic.png","Hero Icon","icon_hero_agra_epic","Icon Hero Agra Epic"
"icon_hero_ailiri.png","Hero Icon","icon_hero_ailiri","Icon Hero Ailiri"
"icon_hero_ailiri_epic.png","Hero Icon","icon_hero_ailiri_epic","Icon Hero Ailiri Epic"
"icon_hero_airon.png","Hero Icon","icon_hero_airon","Icon Hero Airon"
"icon_hero_airon_rare.png","Hero Icon","icon_hero_airon_rare","Icon Hero Airon Rare"
"icon_hero_anette.png","Hero Icon","icon_hero_anette","Icon Hero Anette"
"icon_hero_anette_epic.png","Hero Icon","icon_hero_anette_epic","Icon Hero Anette Epic"
"icon_hero_avalon.png","Hero Icon","icon_hero_avalon","Icon Hero Avalon"
"icon_hero_avalon_epic.png","Hero Icon","icon_hero_avalon_epic","Icon Hero Avalon Epic"
"icon_hero_avalon_rare.png","Hero Icon","icon_hero_avalon_rare","Icon Hero Avalon Rare"
"icon_hero_azarellia.png","Hero Icon","icon_hero_azarellia","Icon Hero Azarellia"
"icon_hero_azarellia_epic.png","Hero Icon","icon_hero_azarellia_epic","Icon Hero Azarellia Epic"
"icon_hero_azarellia_rare.png","Hero Icon","icon_hero_azarellia_rare","Icon Hero Azarellia Rare"
"icon_hero_baison.png","Hero Icon","icon_hero_baison","Icon Hero Baison"
"icon_hero_baison_epic.png","Hero Icon","icon_hero_baison_epic","Icon Hero Baison Epic"
"icon_hero_bo.png","Hero Icon","icon_hero_bo","Icon Hero Bo"
"icon_hero_brina.png","Hero Icon","icon_hero_brina","Icon Hero Brina"
"icon_hero_brina_rare.png","Hero Icon","icon_hero_brina_rare","Icon Hero Brina Rare"
"icon_hero_chas.png","Hero Icon","icon_hero_chas","Icon Hero Chas"
"icon_hero_chas_epic.png","Hero Icon","icon_hero_chas_epic","Icon Hero Chas Epic"
"icon_hero_cimmeria.png","Hero Icon","icon_hero_cimmeria","Icon Hero Cimmeria"
"icon_hero_cimmeria_epic.png","Hero Icon","icon_hero_cimmeria_epic","Icon Hero Cimmeria Epic"
"icon_hero_condrat.png","Hero Icon","icon_hero_condrat","Icon Hero Condrat"
"icon_hero_condrat_epic.png","Hero Icon","icon_hero_condrat_epic","Icon Hero Condrat Epic"
"icon_hero_drogo.png","Hero Icon","icon_hero_drogo","Icon Hero Drogo"
"icon_hero_drogo_epic.png","Hero Icon","icon_hero_drogo_epic","Icon Hero Drogo Epic"
"icon_hero_drowzet.png","Hero Icon","icon_hero_drowzet","Icon Hero Drowzet"
"icon_hero_drowzet_rare.png","Hero Icon","icon_hero_drowzet_rare","Icon Hero Drowzet Rare"
"icon_hero_eliana.png","Hero Icon","icon_hero_eliana","Icon Hero Eliana"
"icon_hero_gabriella.png","Hero Icon","icon_hero_gabriella","Icon Hero Gabriella"
"icon_hero_gabriella_rare.png","Hero Icon","icon_hero_gabriella_rare","Icon Hero Gabriella Rare"
"icon_hero_ghorm.png","Hero Icon","icon_hero_ghorm","Icon Hero Ghorm"
"icon_hero_ghorm_epic.png","Hero Icon","icon_hero_ghorm_epic","Icon Hero Ghorm Epic"
